term,pos,comment,translation_ar,comment_ar,translation_ast,comment_ast,translation_bg,comment_bg,translation_br,comment_br,translation_ca,comment_ca,translation_cs,comment_cs,translation_da,comment_da,translation_de,comment_de,translation_el,comment_el,translation_en_CA,comment_en_CA,translation_en_GB,comment_en_GB,translation_en_US,comment_en_US,translation_eo,comment_eo,translation_es,comment_es,translation_et,comment_et,translation_eu,comment_eu,translation_fa,comment_fa,translation_fi,comment_fi,translation_fr,comment_fr,translation_fy,comment_fy,translation_ga,comment_ga,translation_gd,comment_gd,translation_gl,comment_gl,translation_he,comment_he,translation_hi,comment_hi,translation_hr,comment_hr,translation_hu,comment_hu,translation_ia,comment_ia,translation_id,comment_id,translation_ig,comment_ig,translation_it,comment_it,translation_ja,comment_ja,translation_jv,comment_jv,translation_ka,comment_ka,translation_ko,comment_ko,translation_krl,comment_krl,translation_la,comment_la,translation_lt,comment_lt,translation_mr,comment_mr,translation_ms,comment_ms,translation_my,comment_my,translation_nb,comment_nb,translation_nds,comment_nds,translation_nl,comment_nl,translation_nn,comment_nn,translation_oc,comment_oc,translation_pl,comment_pl,translation_pt,comment_pt,translation_pt_BR,comment_pt_BR,translation_ro,comment_ro,translation_ru,comment_ru,translation_rw,comment_rw,translation_si,comment_si,translation_sk,comment_sk,translation_sl,comment_sl,translation_sr,comment_sr,translation_sv,comment_sv,translation_tr,comment_tr,translation_uk,comment_uk,translation_vi,comment_vi,translation_zh_CN,comment_zh_CN,translation_zh_TW,comment_zh_TW
Fisher,Noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",,,,,Рибар,,,,Pescador,,rybář,,Fisker,,Fischer,,Ψαράς,,,,,,,,,,Pescador,,,,,,,,,,Pêcheur,,,,,,iasgair,fir. iol. -ean,,,,,,,,,Halász,,,,,,,,Pescatore,,漁師,,,,,,,,,,piscator,,,,,,,,,,Fisker,,Fisker,,Visser,,,,,,Rybak,,pescador,,Pescador,,,,Рыболов,,,,,,rybár,,,,,,Fiskare,,,,,,,,,,,
Fisher’s House,Noun,"Production Building - Atlanteans, Empire, Frisians",,,,,Рибарска къща,,,,Casa del Pescador,,domek rybáře,,Fiskerhus,,Fischerhaus,,Σπίτι Ψαρά,,,,,,,,,,Casa de Pescador,,,,,,,,,,Maison de pêcheur,,,,,,taigh-iasgair,taigh fir. gin. -e; iol. -ean,,,,,,,,,Halászház,,,,,,,,Casa del pescatore,,漁師小屋,,,,,,,,,,casa piscatoris,,,,,,,,,,Fiskers hus,,Fiskeree,,Vissershuis,,,,,,Domek rybaka,,casa do pescador,,Casa do Pescador,,,,Домик Рыболова,,,,,,rybársky dom,,,,,,Fiskestuga/Fiskarstuga,"Atlanteans: Fiskestuga
Empire: Fiskarstuga",,,,,,,,,,
Fisher’s Hut,Noun,Production Building - Barbarians,,,,,Рибарска колиба,,,,Barraca del Pescador,,Rybářova chata,,Fiskerhytte,,Fischerhütte,,Καλύβα Ψαρά,,,,,,,,,,Cabaña de Pescador,,,,,,,,,,Cabane de pêcheur,,,,,,bothan-iasgair,bhothan-iasgair | bothain-iasgair | bhothain-iasgair,,,,,,,,,Halászkunyhó,,,,,,,,Capanna del pescatore,,漁師の庵,(元: 漁師小屋),,,,,,,,,casa piscatoris,,,,,,,,,,Fiskerhytte,,Fisker-Huus,,Vissershut,,,,,,Chata rybaka,,cabana do pescador,,Cabana do Pescador,,,,Хижина Рыболова,,,,,,rybárska chatrč,,,,,,Fiskarkoja,,,,,,,,,,,
Fishing Net,Noun,"Ware - Tool - Atlanteans, Frisians",,,,,Рибарска мрежа,,,,Xarxa de Pescar,,rabářská síť,,Fiskenet,,Fischernetz,,Δίχτυ Ψαρέματος,,,,,,,,,,Red de Pesca,,,,,,,,,,Filet de pêche,,,,,,lìon-èisg,"fir. gin. lìn-èisg, iol. -tan-èisg",,,,,,,,,Halászháló,,,,,,,,Rete da pesca,,漁網,,,,,,,,,,rete piscarium,,,,,,,,,,Fiskegarn,,Fiskernett,,Visnet,,,,,,Sieć rybacka,,rede de pesca,,Rede de Pesca,,,,Рыболовная сеть,,,,,,rybárska sieť,,,,,,Fiskenät,,,,,,,,,,,
Fishing Rod,Noun,"Ware - Tool - Barbarians, Empire",,,,,Въдица,,,,Canya de Pescar,,rybářský prut,,Fiskestang,,Angel,,Καλάμι Ψαρέματος,,,,,,,,,,Caña de Pesca,,,,,,,,,,Canne à pêche,,,,,,slat-iasgaich,"boir. gin. slait-iasgaich, iol. -an-iasgaich",,,,,,,,,Horgászbot,,,,,,,,Canna da pesca,,釣竿,,,,,,,,,,,,,,,,,,,,Fiskestang,,Angel,,Vishengel,,,,,,Wędka,,cana de pesca,,Vara de Pesca,,,,Удочка,,,,,,rybárska udica,,,,,,Fiskespö,,,,,,,,,,,
Flour,Noun,Ware - Empire,,,,,Брашно,,,,Farina,,mouka,,Mel,,Mehl,,Αλεύρι,,,,,,,,,,Harina,,,,,,,,,,Farine,,,,,,flùr,fhlùr | flùir | fhlùir | flùraichean | fhlùraichean,,,,,,,,,Liszt,,,,,,,,Farina,,小麦粉,,,,,,,,,,farina,,,,,,,,,,Mel,,Mehl,,Meel,,,,,,Mąka,,farinha,,Farinha,,,,Мука,,,,,,múka,,,,,,Mjöl,,,,,,,,,,麵粉,
Forester,Noun,"Worker - Atlanteans, Empire, Frisians",,,,,Лесничей,,,,Guarda Forestal,,lesník,,Skovfoged,,Förster,,Δασοκόμος,,,,,,,,,,Silvicultor,,,,,,,,,,Sylviculteur,,,,,,planntair-coille,phlanntair-coille | planntairean-coille | phlanntairean-coille,,,,,,,,,Erdész,,,,,,,,Guardia forestale,,植樹番,,,,,,,,,,saltuarius,,,,,,,,,,Skogforvalter,,Förster,,Boswachter,,,,,,Leśnik,,silvicultor,,Silvicultor,,,,Лесник,,,,,,horár,,,,,,Skogvaktare,,,,,,,,,,,
Forester’s House,Noun,"Production Building - Atlanteans, Empire, Frisians",,,,,Лесничейска къща,,,,Casa del Guarda Forestal,,domek lesníka,,Skovfogedhus,,Forsthaus,,Σπίτι Δασοκόμου,,,,,,,,,,Casa del Silvicultor,,,,,,,,,,Maison de sylviculteur,"The worker is called ""Sylviculteur""? Yes :)",,,,,taigh planntair-choille,thaigh planntair-choille | taighe planntair-choille | thaighe planntair-choille | taighean planntair-choille | thaighean planntair-choille,,,,,,,,,Erdészház,,,,,,,,Casa della guardia forestale,,植樹番小屋,,,,,,,,,,casa saltuarii,,,,,,,,,,Skogforvalters hus,,Förster-Huus,,Boswachtershuis,,,,,,Leśniczówka,,casa do silvicultor,,Casa do Silvicultor,,,,Домик Лесника,,,,,,horáreň,,,,,,Skogvaktarstuga / Skogvaktarboställe,"Atlanteans: skogvaktarstuga
Empire: skogvaktarboställe",,,,,,,,,,
Fortified Village,Noun,Starting Condition. Formerly Castle / Citadel Village,,,,,Укрепено селище,,,,Aldea Fortificada,,,,Befæstet landsby,,Befestigtes Dorf,,Οχυρωμένο Χωριό,,,,,,,,,,Pueblo Fortificado,,,,,,,,,,Village fortifié,,,,,,Baile daingnichte,fir. iol. -tean,,,,,,,,,Erődített falu,,,,,,,,,,要塞化された村,,,,,,,,,,,,,,,,,,,,,,Schanzendörp,,Versterkt Dorp,,,,,,Ufortyfikowana wioska,,aldeia fortificada,,,,,,Укрепленная деревня,,,,,,opevnená dedina,,,,,,Befäst by,,,,,,,,,,,
Fortress,Noun,"Military Building - Barbarians, Empire, Frisians",,,,,Крепост,,,,Fortalesa,,pevnost,,Fæstning,,Festung,,Φρούριο,,,,,,,,,,Fortaleza,,,,,,,,,,Forteresse,,,,,,dùn,dhùn | dùin | dhùin,,,,,,,,,Erőd,,,,,,,,Fortezza,,要塞,,,,,,,,,,,,,,,,,,,,Fort,,Schanz,,Vesting,,,,,,Forteca,,fortaleza,,Fortaleza,,,,Крепость,,,,,,pevnosť,,,,,,Fästning,,,,Фортеця,,,,,,,
Fremil,Noun,Placename,,,,,Фремил,,,,Fremil,,,,Fremil,,Fremil,,Φρεμίλ,,,,,,,,,,Fremil,Nombre de lugar,,,,,,,,,Fremil,,,,,,Fremil,Fhremil |,,,,,,,,,Fremil,,,,,,,,,,フレミル,,,,,,,,,,,,,,,,,,,,,,Freemilt,,,,,,,,Fremil,,Fremil,,,,,,Фремил,топоним,,,,,Fremil,,,,,,Fremil,,,,,,,,,,,
Frisian,,,,,,,,,,,,,,,,,Friese,,Φρίσιος,,,,,,,,,,,,,,,,,,,Vapaamielinen,Frison,,,,,,,,,,,,,,,,,,,,,,,,,,フリジア,,,,,,,,,,,,,,,,,,,,,,Freesk,freesk | Frees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frisians,Noun,Tribe name,,,,,Фризийци,,,,Frisons,,,,,,Friesen,,Φρίσιοι,,,,,,,,,,,,,,,,,,,Vapaamieliset,,,,,,,Frìoslannaich,,,,,,,,,,,,,,,,,,,,フリジア,,,,,,,,,,,,,,,,,,,,,,Fresen,,,,,,,,,,Frísios,,,,,,Фризы,,,,,,,,,,,,,,,,,,,,,,,
Fruit,Noun,Ware - Frisians,,,,,,,,,Fruita,,,,,,Beeren,,Φρούτο,,,,,,,,,,,,,,,,,,,,fruit,,,,,,dearcan,,,,,,,,,,,,,,,,,,,,フルーツ,,,,,,,,,,,,,,,,,,,,,,Früchten,,,,,,,,,,,,,,,,Фрукт,,,,,,,,,,,,,,,,,,,,,,,
Fruit Collector,Noun,Worker - Frisians,,,,,,,,,Recol·lector de fruita,,,,,,Beerensammler,,Φρουτοσυλλέκτης,,,,,,,,,,,,,,,,,,,,ramasseur de fruits,,,,,,cruinniche,,,,,,,,,,,,,,,,,,,,フルーツ採取人,,,,,,,,,,,,,,,,,,,,,,Früchtenpottjer,,,,,,,,,,,,,,,,Сборщик фруктов,,,,,,,,,,,,,,,,,,,,,,,
Fruit Collector’s House,Noun,Production Building - Frisians,,,,,,,,,Casa del recol·lector de fruita,,,,,,Beerensammlerhaus,,Σπίτι Φρουτοσυλλέκτη,,,,,,,,,,,,,,,,,,,,cabane de cueilleur de fruits,,,,,,taigh-cruinniche,,,,,,,,,,,,,,,,,,,,フルーツ採取小屋,,,,,,,,,,,,,,,,,,,,,,Früchtenpottjeree,,,,,,,,,,,,,,,,Домик сборщика фруктов,,,,,,,,,,,,,,,,,,,,,,,
Fur,Noun,Ware - Frisians,,,,,,,,,Pell de ren,,,,,,Fell,,Γούνα,,,,,,,,,,,,,,,,,,,Turkis,,,,,,,bian,,,,,,,,,,,,,,,,,,,,毛皮,,,,,,,,,,,,,,,,,,,,,,Fell,,,,,,,,,,Pele,,,,,,Мех,Имеется ввиду пушнина,,,,,,,,,,,,,,,,,,,,,,
Fur Garment,Noun,Ware - Armor - Frisians,,,,,,,,,Vestit de pell,,,,,,Fellgewand,,Γούνινο,,,,,,,,,,,,,,,,,,,Turkisvaate,vêtement en fourrure,,,,,,còta-bèin,,,,,,,,,,,,,,,,,,,,革鎧,,,,,,,,,,,,,,,,,,,,,,Fellkluft,,,,,,,,,,Roupas de Pele,,,,,,Меховая одежда,,,,,,,,,,,,,,,,,,,,,,,
Furnace,Noun,Production Building - Frisians,,,,,,,,,Farga,,,,,,Schmelzofen,,Κλίβανος,,,,,,,,,,,,,,,,,,,Sulattamo,four,,,,,,fùirneis,,,,,,,,,,,,,,,,,,,,溶鉱炉,,,,,,,,,,,,,,,,,,,,,,Smelteree,,,,,,,,,,fundição,Nota: refere-se ao edifício onde se fundem os metais,,,,,"Печь, печка",Производственное здание,,,,,,,,,,,,,,,,,,,,,,
Gamekeeper,Noun,Worker - Barbarians,,,,,Дивечовъд,,,,Guarda de Peces de Caça,,hajný,,Jagtbestyrer,,Wildhüter,,Θηροτρόφος,,,,,,,,,,Guardabosques,,,,,,,,,,Garde-chasse,,,,,,geamair,fir. iol. -ean,,,,,,,,,Vadőr,,,,,,,,Guardiacaccia,,狩猟番,,,,,,,,,,,,,,,,,,,,Viltforvalter,,Deertentüchter,,Jachtopzichter,,,,,,Gajowy,,couteiro,,Encarregado da caça,,,,Егерь,,,,,,hájnik,,,,,,Viltvårdare,,,,,,,,,,,
Gamekeeper’s Hut,Noun,Production Building - Barbarians,,,,,Дивечовъдска хижа,,,,Cabana del Guarda de Caça,,Chata hajného,,Jagtbestyrerhytte,,Wildhüterhütte,,Καλύβα Θηροτρόφου,,,,,,,,,,Cabaña de Guardabosques,,,,,,,,,,Cabane de garde-chasse,,,,,,bothan-geamair,bothan fir. gin. ┐ iol. -ain,,,,,,,,,Vadőrház,,,,,,,,Capanna del guardiacaccia,,狩猟番の庵,,,,,,,,,,,,,,,,,,,,Viltforvalters hytte,,Deertentüchteree,,Jachtopzichtershut,,,,,,Gajówka,,coutada,,Cabana do Encarregado da Caça,,,,Хижина егеря,,,,,,hájnická chatrč,,,,,,Viltvårdarkoja,,,,,,,,,,,
Gardener,Noun,Worker - Barbarians. Formerly Ferner,,,,,Градинар,,,,Jardiner,,zahradník,,Gartner,,Reetbauer,,Κηπουρός,,,,,,,,,,Jardinero,,,,,,,,,,Horticulteur,,,,,,gàirnealair,fir. iol. -ean,,,,,,,,,Kertész,,,,,,,,,,カヤ農夫,,,,,,,,,,,,,,,,,,,,Gartner,,Gaardner,,Rietkweker,,,,,,Ogrodnik,,horticultor,,,,,,Садовник,,,,,,záhradník,,,,,,Trädgårdsmästare,,,,,,,,,,,
Garrison,Noun,"Game entity (Future term, not used yet).",,,,,,,,,Guarnició / Allotjar,,,,,,Garnison,,Φρουρά,,,,,,,,,,Guarnición,"Entidad del juego (Término futuro, aún no usado)",,,,,,,,,Garnison,,,,,,,,,,,,,,,,Kaszárnya,,,,,,,,Guarnigione,,,,,,,,,,,,,,,,,,,,,,,,Mannskupp,,Garnizoen,,,,,,,,guarnição,,,,,,Гарнизон,,,,,,,,,,,,Garnison,,,,,,,,,,,
General Statistics,Noun,GUI,,,,,Общи статистики,,,,Estadístiques Generals,,Hlavní statistika,,,,Allgemeine Statistiken,,Γενικά Στατιστικά,,,,,,,,,,Estadísticas Generales,GUI,,,,,,,,,Statistiques générales,,,,,,stadastaireachd choitcheann,stadastaireachd coitchinn|,,,,,,,,,Általános statisztika,,,,,,,,Statistiche Generali,,一般統計,,,,,,,,,,census generales,,,,,,,,,,,,Tahlen över Allgemeens,,Algemene Statistieken,,,,,,Statystyki ogólne,,estatísticas gerais,,Estatísticas gerais,,,,Общая Статистика,,,,,,Všeobecná štatistika,,,,,,Allmän statistik,,,,,,,,,,,
Geologist,Noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",,,,,Геолог,,,,Geòleg,,geolog,,Geolog,,Geologe,,Γεωλόγος,,,,,,,,,,Geólogo,,,,,,,,,,Géologue,,,,,,clach-eòlaiche,chlach-eòlaiche | clach-eòlaichean | chlach-eòlaichean,,,,,,,,,Geológus,,,,,,,,Geologo,,地質学者,,,,,,,,,,geologus,,,,,,,,,,Geolog,,Schattsöker,"Anyone who comes up with a better translation than ""Treasure-Hunter"" is welcome to replace it",Geoloog,,,,,,Geolog,,geólogo,,Geólogo,,,,Геолог,,,,,,geológ,,,,,,Geolog,,,,,,,,地质专家,,,
Gilded Armor,Noun,Ware - Armor - Empire. Replaces Plate-Armor.,,,,,Позлатена броня,,,,Armadura daurada,,zlacená zbroj,,Forgyldt rustning,,Goldharnisch,,Επίχρυση Πανοπλία,,,,,,,,,,Armadura Dorada,,,,,,,,,,Armure dorée,"in french plate-armor, is a specialy shaped armor with specific bits, but the gilded armor will be in gold, different matérial. An advise ?",,,,,lùireach òraichte,"boir. gin. -rich , iol. -richean",,,,,,,,,Aranyozott páncél,,,,,,,,,,ゴールドアーマー,,,,,,,,,,,,,,,,,,,,,,Goldene Wapenrock,,Verguld Harnas,,,,,,Pozłacana zbroja,,armadura dourada,,,,,,Позолоченный доспех,,,,,,pozlátená zbroj,,,,,,Förgylld rustning,,,,,,,,,,,
Gold,Noun,"Ware - Atlanteans, Barbarians, Empire, Frisians",,,,,Злато,,,,Or,,zlato,,Guld,,Gold,,Χρυσός,,,,,,,,,,Oro,,,,,,,,,,Or,,,,,,òr,òir|,,,,,,,,,Arany,,,,,,,,Oro,,金,,,,,,,,,,aurum,,,,,,,,,,Gull,,Gold,,Goud,,,,,,Złoto,,ouro,,Ouro,,,,Золото,,,,,,zlato,,,,,,Guld,,,,,,,,,,,
Gold Mine,Noun,"Production Building - Atlanteans, Barbarians, Empire, Frisians",,,,,Златна мина,,,,Mina d'Or,,důl na zlato,,Guldmine,,Goldmine,,Χρυσωρυχείο,,,,,,,,,,Mina de Oro,,,,,,,,,,Mine d'Or,,,,,,mèinn òir,mhèinn òir | mèinne òir | mèinnean òir | mhèinnean òir,,,,,,,,,Aranybánya,,,,,,,,Miniera d'oro,,金鉱,(元: 金鉱山),,,,,,,,,metallum auri,,,,,,,,,,Gullgruve,,Gold-Bargwark,,Goudmijn,,,,,,Kopalnia złota,,mina de ouro,,Mina de Ouro,,,,Золотая шахта,,,,,,zlatá baňa,,,,,,Guldgruva,,,,,,,,,,,
Gold Ore,Noun,"Ware - Atlanteans, Barbarians, Empire, Frisians",,,,,Златна руда,,,,Mineral d'Or,,zlatá ruda,,Guldmalm,,Golderz,,Μετάλλευμα Χρυσού,,,,,,,,,,Mineral de Oro,,,,,,,,,,Minerai d'Or,,,,,,clach-òir,chlach-òir | cloiche-òir | clachan-òir | chlachan-òir,,,,,,,,,Aranyérc,,,,,,,,Minerale aurifero,,金鉱石,,,,,,,,,,,,,,,,,,,,Gullmalm,,Goldkluut,,Gouderts,,,,,,Ruda złota,,minério de ouro,,,,,,Золотая руда,,,,,,zlatá ruda,,,,,,Guldmalm,,,,,,,,,,,
Gold Spinning Mill,Noun,Production Building - Atlanteans. Formerly Goldweaver,,,,,Златна предачница,,,,Filadora d'or,,Tkadlec zlata,,Guldspindemølle,,Goldspinnerei,,Κλωστήριο Χρυσού,,,,,,,,,,Tejedor de Hilo de Oro,,,,,,,,,,Filature d'or,,,,,,ceàrdach òr-shnìomhaidh,"boir. gin. -aich, iol. -aichean",,,,,,,,,Aranyszálfonó malom,,,,,,,,,,金糸紡績所,,,,,,,,,,,,,,,,,,,,,,Goldspinneree,,Goudspinnerij,,,,,,Tkalnia złota,,ourives,,,,,,Золотопрядильная фабрика,,,,,,pradiareň zlata,,,,,,Guldtrådsfabrik,,,,,,,,,,,
Gold Thread,Noun,Ware - Atlanteans. Replaces Gold Yarn.,,,,,Златен конец,,,,Fil d'or,,zlatá příze,,Guldtråd,,Goldgarn,,Χρυσή Κλωστή,,,,,,,,,,Hilo de Oro,,,,,,,,,,Fil d'Or,,,,,,snàth òir,shnàth òir | snàith òir | shnàith òir | snàithean òir | shnàithean òir,,,,,,,,,Aranyfonál,,,,,,,,Filato d'oro,,金糸,,,,,,,,,,,,,,,,,,,,,,Goldwulle,,Gouddraad,,,,,,Złota nić,,fio de ouro,,,,,,Золотая нить,,,,,,zlatá niť,,,,,,Guldtråd,,,,,,,,,,,
Golden Fur Garment,Noun,Ware - Armor - Frisians,,,,,,,,,Vestit de pell amb or,,,,,,Goldenes Fellgewand,,Επίχρυσο Γούνινο,,,,,,,,,,,,,,,,,,,,,,,,,,còta-bèin òrach,,,,,,,,,,,,,,,,,,,,黄金革鎧,,,,,,,,,,,,,,,,,,,,,,Goldene Fellkluft,,,,,,,,,,,,,,,,Золотая меховая одежда,,,,,,,,,,,,,,,,,,,,,,,
Golden Helmet,Noun,Ware - Armor - Frisians,,,,,,,,,Casc daurat,,,,,,Goldener Helm,,Επίχρυσο Κράνος,,,,,,,,,,,,,,,,,,,,,,,,,,clogaid òrach,,,,,,,,,,,,,,,,,,,,ゴールデンヘルム,,,,,,,,,,,,,,,,,,,,,,Goldene Helm,,,,,,,,,,Capacete Dourado,,,,,,Золотой шлем,,,,,,,,,,,,,,,,,,,,,,,
Golden Tabard,Noun,Ware - Armor - Atlanteans,,,,,Златно наметало,,,,Tabard d'Or,,zlatá vesta,,Gylden våbenkjortel,,Goldener Wappenrock,,Επίχρυσος Χιτώνας,,,,,,,,,,Tabardo Dorado,,,,,,,,,,Tabard doré,,,,,,lèine òrach,lèintean òrach |,,,,,,,,,Aranyköntös,,,,,,,,Tabarro dorato,,ゴールデンタバード,,,,,,,,,,tunica aurea,,,,,,,,,,,,Goldene Kluft,,Gouden Tabberd,,,,,,Złoty tabard,,túnica dourada,,Manto Dourado,,,,Золотая накидка,,,,,,zlatý kabátec,,,,,,Gyllene vapenrock,,,,,,,,,,,
Granite,Noun,"Ware - Atlanteans, Barbarians, Empire, Frisians",,,,,Гранит,,,,Granit,,Žula,,Granit,,Stein,,Γρανίτης,,,,,,,,,,Granito,,,,,,,,,,Granite,,,,,,gaireal,ghaireal | gaireil | ghaireil,,,,,,,,,Gránit,,,,,,,,Granito,,花崗岩,,,,,,,,,,,,,,,,,,,,,,Flint,,Graniet,,,,,,Granit,,granito,,,,,,Гранит,,,,,,,,,,,,Granit,,,,Граніт,,,,,,,
Granite Mine,Noun,Production Building - Barbarians,,,,,Мина за гранит,,,,Mina de granit,,důl na žulu,,Granitmine,,Granitmine,,Ορυχείο Γρανίτη,,,,,,,,,,Mina de Granito,,,,,,,,,,Mine de Granit,,,,,,mèinn gaireil,mhèinn gaireil | mèinne gaireil | mèinnean gaireil | mhèinnean gaireil,,,,,,,,,Gránitbánya,,,,,,,,Miniera di granito,,花崗岩鉱,(元: 花崗岩鉱山),,,,,,,,,metallum graniti,,,,,,,,,,Granittgruve,,Flint-Bargwark,,Granietmijn,,,,,,Kopalnia granitu,,mina de granito,,Mina de Granito,,,,Гранитная шахта,,,,,,žulová baňa,,,,,,Granitgruva,,,,,,,,,,,
Grape,Noun,Ware - Empire,,,,,Грозде,,,,Raïm,,hrozen,,Drue,,Weintrauben,,Σταφύλια,,,,,,,,,,Uva,,,,,,,,,,Raisin,,,,,,fìon-dhearc,boir. iol. -an,,,,,,,,,Szőlő,,,,,,,,Uva,,ブドウ,,,,,,,,,,,,,,,,,,,,Drue,,Wiendruuv,,Druif,,,,,,Winogrona,,uvas,,Uvas,,,,Виноград,"Плоды винограда, товар (ресурс)",,,,,hrozno,,,,,,Vindruva,,,,Виноград,,,,,,,
Grapevine,Noun,Immovable - empire,,,,,,,,,Cep,,,,,,Weinreben,,Αμπέλι,,,,,,,,,,Vid,,,,,,,,,,Vigne,,,,,,crann-fìona,chrann-fìona | crainn-fhìona | chrainn-fhìona,,,,,,,,,Szőlőtőke,,,,,,,,,,ブドウの木,,,,,,,,,,,,,,,,,,,,,,Wiendruven,Wiendruuv | Wiendruven | Wien,Wijnrank,,,,,,,,videira,,,,,,"Виноград, Виноградная лоза","Виноградная лоза, культура для выращивания плодов винограда",,,,,,,,,,,Vinranka,,,,,,,,,,,
Green Mushroom Tree,Noun,,,,,,Зелено гъбено дърво,,,,Arbre xampinyó verd,,,,,,Grüner Pilzbaum,,Πράσινο Μανιταρόδεντρο,,,,,,,,,,,,,,,,,,,,Arbre champignon vert,,,,,,,,,,,,,,,,Zöld gombafa,,,,,,,,,,ミドリカサ,(架空)キノコっぽい木,,,,,,,,,,,,,,,,,,,,,Gröner Paddstohlboom,,,,,,,,,,,,,,,,Зеленый баобаб,,,,,,,,,,,,Grönt svampträd,,,,,,,,,,,
Green Umbrella Tree,Noun,,,,,,Зелено чадърено дърво,,,,Arbre para-sol verd,,,,,,Grüner Schirmbaum,,Πράσινο Ομπρελόδεντρο,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zöld esernyőfa,,,,,,,,,,ミドリヤネ,架空植物,,,,,,,,,,,,,,,,,,,,,Gröner Schirmboom,,,,,,,,,,,,,,,,Зеленая акация,,,,,,,,,,,,Grönt paraplyträd,,,,,,,,,,,
Grout,Noun,Ware - Barbarians,,,,,Вар,,,,Lletada de calç,,malta,,Injektionsmørtel,,Mörtel,,Τσιμέντο,,,,,,,,,,Mortero,,,,,,,,,,Chaux,,,,,,aol-tàthaidh,fir. gin. aoil-thàthaidh,,,,,,,,,Habarcs,,,,,,,,Calce,"""malta""?",モルタル,本来想定しているものはセメントな気がしなくもない,,,,,,,,,arenatum,,,,,,,,,,Mørtel,,Mörtel,,Mortel,"formerly: ""Specie""",,,,,Fuga,,argamassa,,Argamassa,,,,Цемент,,,,,,malta,,,,,,Murbruk,,,,,,,,,,石灰,
Guardhall,Noun,Military Building - Atlanteans,,,,,Голяма стражарница,,,,Saló de la guàrdia,,velká strážnice,,Vagthal,,Wächterhalle,,Στρατώνας Φρουρών,,,,,,,,,,Salón de Guardias,,,,,,,,,,Salle de garde,,,,,,talla-faire,fir. iol. -chan,,,,,,,,,Őrterem,,,,,,,,Posto di guardia,(?),防衛砦,(元: 警備所),,,,,,,,,,,,,,,,,,,Borg,"(Not 100% happy with this, feel free to replace with a better translation)",Wahrders-Saal,,Wachtlokaal,"Used to be ""Wachthal""
stdh: This doesn't sound like an impressive military building...",,,,,Warownia,,posto da guarda,,Sala da Guarda,,,,Форт,,,,,,strážna hala,,,,,,Vakthus,,,,Зал охорони,,,,,,,
Guardhouse,Noun,Military Building - Atlanteans,,,,,Стражарница,,,,Casa del guaita,,strážnice,,Vagthus,,Wachhaus,,Κοιτώνας Φρουρών,,,,,,,,,,Casa de Guardia,,,,,,,,,,Poste de garde,,,,,,bothan-faire,bothan fir. gin. ┐ iol. -ain,,,,,,,,,Őrház,,,,,,,,Posto di guardia,,警備小屋,,,,,,,,,,,,,,,,,,,,Vaktstue,,Wahrders-Stuuv,,Wachthuis,,,,,,Wartownia,,casa da guarda,,Casa da Guarda,,,,Сторожка,,,,,,strážnica,,,,,,Vaktstuga,,,,Будинок охорони,,,,,,,
Gulf of Perl,Noun,Placename,,,,,,,,,Golf de la Perla,,,,,,Perlengolf,,,,,,,,,,,,Gulf of Perl,Nombre de lugar,,,,,,,,,Golfe de perle,,,,,,Camas Pherl,,,,,,,,,,Perl-öböl,,,,,,,,,,パール湾,,,,,,,,,,,,,,,,,,,,,,Parrelsbucht,,,,,,,,,,,,,,,,Жемчужный залив,,,,,,Perlský záliv,,,,,,Pärlbukten,,,,,,,,,,,
Hammer,Noun,"Ware - Tool - Atlanteans, Barbarians, Empire, Frisians",,,,,Чук,,,,Martell,,kladivo,,Hammer,,Hammer,,Σφυρί,,,,,,,,,,Martillo,,,,,,,,,,Marteau,,,,,,òrd,,,,,,,,,,Kalapács,,,,,,,,Martello,,ハンマー,,,,,,,,,,malleus,,,,,,,,,,Hammer,,Klöpper,,Hamer,,,,,,Młotek,,martelo,,Martelo,,,,Молоток,,,,,,kladivo,,,,,,Hammare,,,,,,,,,,,
Headquarters,Noun,"Warehouse Building - Atlanteans, Barbarians, Empire, Frisians",,,,,Щаб,,,,Quarter General,,Hlavní budova,,Hovedkvarterer,,Hauptquartier,,Αρχηγείο,,,,,,,,,,Cuartel General,,,,,,,,,,Quartiers généraux,,,,,,prìomh-àras,phrìomh-àras|,,,,,,,,,Főhadiszállás,,,,,,,,Quartier generale,,本拠地,,,,,,,,,,principia (n.pl.),,,,,,,,,,Hovedkvarter,,Raadhuus,,Hoofdkwartier,,,,,,Kwatera główna,,quartel-general,,Quartel-general,,,,Штаб,,,,,,ústredie,,,,,,Högkvarter,,,,,,,,,,,
